Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
GFI,False,,,,Gold Fields Limited,Basic Materials,Gold,CORE,S&P 500,41196920832.0,0.82,0.51931,BALANCEADO,1,46.06,46.22,49.45,41.64,True,True,True,11.69,9.77,5170800128.0,3567399936.0,37.14,0.62,59.03,28.16,3,5,9,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.67,1,0.0,9.0,MEDIA
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,616.97,24.14,705.48,617.96,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,19.31,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.1,2,8.0,0.0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,225.23,27.58,240.88,203.45,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.41,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.65,4,8.0,0.0,MEDIA
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,93.15,25.08,107.37,122.19,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,41.11,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.65,4,8.0,0.0,MEDIA
HL,False,,,,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,CORE,S&P 500,12224415744.0,1.394,0.13893,AGRESIVO,1,18.23,41.09,20.51,15.58,True,True,True,37.2,4.72,696435008.0,321160000.0,11.0,0.41,26.0,42.62,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.67,1,0.0,8.0,MEDIA
HMY,False,,,,Harmony Gold Mining Company Limited,Basic Materials,Gold,CORE,S&P 500,11049240576.0,0.796,0.33491,DEFENSIVO,0,17.5,54.03,17.89,17.8,True,True,True,11.08,3.45,30802999296.0,16275999744.0,25.47,0.43,23.73,35.61,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.67,1,0.0,8.0,MEDIA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,330.46,39.58,352.41,367.45,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,27.28,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.65,4,7.0,1.0,MEDIA
KGC,False,,,,Kinross Gold Corporation,Basic Materials,Gold,CORE,S&P 500,39073280000.0,1.404,0.31476,AGRESIVO,1,32.51,50.52,32.51,26.54,True,True,True,16.67,4.55,4204300032.0,2390099968.0,8.72,0.18,40.48,24.51,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.67,1,0.0,8.0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,284.95,40.95,311.49,297.06,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,23.79,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.1,2,8.0,0.0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,80.03,47.3,81.38,80.85,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,20.93,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.65,4,8.0,0.0,MEDIA
